
time,gFx,gFy,gFz,wx,wy,wz,
0.098636,-0.0860,0.2840,0.9024,0.0038,-0.3598,0.0870,
0.198014,-0.0901,0.3760,0.9882,0.3117,-0.1180,-0.0840,
0.298387,-0.1602,0.4017,1.0127,0.4351,-0.2058,0.1225,
0.399002,-0.0889,0.4682,0.9037,1.1241,-0.4734,-0.0228,
0.499573,-0.0379,0.5029,0.9454,0.1455,-0.3769,0.1360,
0.599969,-0.0026,0.5815,0.8274,0.2420,-0.3659,0.2655,
0.700587,0.0305,0.5329,0.7309,1.8388,-1.2712,0.3301,
0.801207,0.0630,0.7589,1.1285,1.4736,1.7599,-0.0620,
0.901441,-0.0547,0.7115,0.7982,-0.0206,0.2034,-0.1121,
1.002949,0.1241,0.6140,0.1812,1.2451,2.8080,-0.4737,
1.102902,0.0260,0.7122,0.0857,0.6586,0.6335,-1.1982,
1.202793,0.2224,0.7538,0.9366,0.1834,0.1081,-0.4370,
1.304085,-0.2643,0.7818,0.3508,2.5108,-0.7325,-0.0326,
1.404281,-0.2841,0.5894,0.3391,6.5889,2.0054,0.8458,
1.504837,-0.1497,0.7533,-0.2921,-0.2100,1.8294,0.1800,
1.604912,0.3286,0.8608,-0.1879,0.7771,-0.1803,0.6161,
1.705743,-0.4132,1.6194,-0.0691,0.4485,-1.1186,0.0870,
1.805759,-0.0510,0.5239,-0.6034,0.6341,-1.7183,-0.5005,
1.906323,-0.1001,0.8740,-0.1153,0.1125,0.5809,2.6258,
2.006923,0.0468,0.8656,-0.2135,0.0587,-0.0177,-0.0718,
2.107081,0.0940,0.9856,-0.1819,0.0637,-0.0067,-0.0106,
2.207693,0.0989,0.9956,-0.1917,0.1272,-0.0348,-0.0424,
2.308379,0.0539,0.9634,-0.2335,0.2823,-0.0446,-0.1255,
2.408479,0.0442,0.9879,-0.3061,0.3043,0.0373,-0.2599,
2.509191,-0.1016,0.8969,-0.3144,0.4192,-0.2083,-1.0869,
2.609333,-0.1808,0.9553,-0.2916,-0.2687,0.4562,-0.9709,
2.709972,-0.3244,0.8999,-0.2716,-0.6351,0.9376,-0.7083,
2.810375,-0.2976,0.9290,-0.2524,-0.8734,1.5485,0.1140,
2.910846,-0.4116,0.8055,0.0104,0.1357,0.6150,0.6747,
3.011802,-0.5318,0.9223,-0.1069,-0.3273,2.4453,0.1360,
3.112137,0.0642,0.9793,-0.0100,-0.8123,2.2413,0.2093,
3.212586,-0.0515,0.9153,0.0980,-0.5411,1.8942,0.0847,
3.312855,0.0427,0.9874,0.1209,-0.4971,0.6665,0.6894,
3.413358,-0.2135,1.3091,0.0114,0.3765,0.7593,0.3168,
3.514181,-0.1429,1.0660,0.3948,2.5780,2.3621,-0.7107,
3.614560,0.1052,1.2341,0.0589,1.4051,0.9938,-1.7662,
3.715035,-0.2135,0.6788,0.0242,0.5901,3.0524,-1.9434,
3.815549,0.2147,0.6555,-0.0689,0.0026,2.2535,-1.0234,
3.915877,-0.5169,1.0130,-0.3764,0.2518,1.6023,-0.2904,
4.016793,-0.2226,1.3575,0.1275,-0.0084,-0.5394,-2.0619,
4.116819,-0.2814,1.5072,-0.2074,-1.9143,-1.1564,1.2134,
4.217455,0.2513,0.6778,-0.0542,-1.3450,1.5155,0.7297,
