
time,gFx,gFy,gFz,wx,wy,wz,
4.317870,-0.0850,0.9290,0.0696,-1.6907,-0.4539,0.6992,
4.418211,-0.0510,1.5241,0.1986,-0.4922,-0.9548,0.4769,
4.519299,-0.2643,1.3436,0.3552,0.3752,-0.2450,0.1275,
4.619477,0.2552,1.5416,0.4141,2.5180,0.4782,-1.9679,
4.719933,0.0026,0.8175,-0.0722,1.6580,-0.2058,-2.1938,
4.820310,0.0092,0.1820,-0.0605,1.2083,2.0945,-1.2690,
4.920599,-0.2409,0.5530,-0.4854,-1.2020,1.7146,0.6564,
5.021126,-0.4285,0.6546,-0.7195,0.5231,1.8624,-1.0687,
5.122517,0.3119,0.3893,-0.5858,0.1199,-0.7117,0.4401,
5.223414,-0.3584,1.1822,-0.1407,-2.3809,-1.2761,1.1561,
5.323950,-0.0405,0.6697,0.0016,-1.6430,0.3574,1.3406,
5.424290,0.0749,1.0257,0.0540,-2.0608,-0.2095,0.6209,
5.524515,-0.2741,1.2989,0.0720,-0.6828,-0.0654,0.8922,
5.624898,-0.2103,1.0213,0.2669,2.2847,0.6982,-1.7516,
5.725577,0.6398,2.0403,-0.0761,1.8767,-2.9107,-1.7394,
5.826002,-0.3498,0.6094,-0.1521,1.7178,1.0574,-2.1425,
5.926398,0.0034,0.2625,-0.1321,0.5963,3.3126,-0.3576,
6.027075,-0.3323,1.4610,-0.5890,-1.1422,0.0556,0.9142,
6.127025,-0.0142,1.7240,-0.4067,0.5486,-0.9193,-0.1829,
6.228028,-0.2389,1.1931,0.1803,-1.9008,-2.4636,1.5507,
6.328422,0.0640,0.8713,-0.1826,-2.0083,0.6175,1.1158,
6.428456,0.2426,0.7198,0.0391,-1.7579,-0.3366,0.5879,
6.529264,-0.1961,0.9693,-0.0193,-1.1360,-1.2554,0.7957,
6.629506,0.0833,1.1217,0.0584,-0.7279,-0.9291,0.2813,
6.730085,0.0768,1.0508,0.1693,2.5303,0.4905,-1.7699,
6.830521,0.3424,1.6707,-0.3669,1.0900,-3.8954,-1.9275,
6.930380,-0.2287,0.7494,-0.0637,0.8994,1.2125,-1.8615,
7.031960,0.1079,0.2625,-0.0801,0.1419,3.1636,0.0004,
7.132214,-0.4248,1.3863,-0.8932,0.3605,0.1778,-0.3514,
7.232391,-0.3767,0.3795,-0.7744,-0.2344,1.4911,-0.1059,
7.333123,0.2423,0.3734,0.1693,-0.6095,-1.5180,1.1401,
7.433463,-0.1139,0.8730,-0.1665,-2.2771,-0.8938,1.1171,
7.533023,-0.0156,0.6926,0.0354,-1.3365,0.5527,1.1623,
7.634546,-0.0545,0.9519,0.0623,-1.6919,-0.4283,0.8324,
7.735070,0.1301,1.3650,0.0874,-1.1373,-0.4405,0.4524,
7.835588,-0.0997,1.2952,0.5585,1.3526,0.2412,-0.9867,
7.935760,0.6170,1.9881,0.5399,2.6744,-1.1210,-1.6929,
8.036727,-0.4823,0.7669,0.0349,1.6518,0.4330,-2.0203,
8.136781,0.0114,0.2311,-0.1390,0.8785,3.3175,-0.8414,
8.237490,-0.0391,1.0806,-0.4485,-0.9199,0.9962,0.4329,
8.337979,-0.7104,0.5268,-0.6820,0.2420,1.2772,-0.7388,
8.438356,0.0935,0.3245,-0.1324,0.3935,-0.5504,0.5587,
8.539084,-0.1954,1.1931,-0.1553,-2.1696,-1.0904,1.5960,
8.639972,0.0915,0.6773,0.1031,-1.8312,0.3341,0.9375,
8.740233,0.0837,1.0526,-0.0496,-2.2759,-0.6091,0.8800,
8.840700,-0.0366,1.1740,-0.0232,-0.5826,-0.3196,0.4951,
8.940998,-0.0166,1.2370,0.6538,1.7911,-0.2035,-1.3496,
9.041984,0.6261,1.8776,0.2827,2.1259,-2.3378,-2.0130,
9.142423,-0.4705,0.7997,-0.1160,1.3904,0.6260,-2.2206,
9.242693,0.0078,0.1535,-0.1106,0.5792,3.2454,-0.8243,
9.343122,-0.1481,1.1703,-0.4094,-0.5888,1.1197,0.4683,
9.443928,-0.5216,0.6331,-0.8614,0.6097,1.9504,-0.4870,
9.544183,0.3454,-0.0182,-0.3029,-0.3139,-0.5554,0.7017,
9.644889,-0.2480,0.9504,-0.0579,-2.0023,-0.6592,1.3382,
9.744578,0.0920,0.6607,0.1280,-1.9436,0.6090,0.9375,
9.845710,0.0852,0.9499,-0.1952,-2.3261,-0.4001,0.9362,
9.946160,-0.0433,1.2008,0.0862,-0.5888,-0.4148,0.3668,
10.046936,-0.1598,1.4349,0.7141,1.5004,0.0213,-1.3178,
10.147009,0.6657,1.7374,0.4231,2.4032,-1.8235,-2.1461,
10.247267,-0.3980,0.8610,-0.0779,1.6164,0.7788,-2.2463,
10.348030,-0.0170,0.2280,-0.0742,0.8382,3.5265,-0.7828,
10.448431,-0.0640,1.0860,-0.4148,-0.4763,1.0707,0.4951,
10.549045,-0.3755,0.7934,-0.9107,0.6647,1.8722,-0.5823,
10.649133,0.0102,0.5654,-0.2159,0.7259,-0.1693,0.3010,
10.750370,-0.1490,1.3404,0.0036,-2.4739,-2.3683,1.3284,
10.850774,0.0576,0.6881,0.0078,-1.6871,0.5968,0.9301,
10.951543,-0.0481,0.8754,0.1260,-1.5381,-0.7887,0.7261,
11.051857,-0.0659,1.1281,0.0796,-0.9749,-0.5174,0.4719,
11.151938,-0.3904,1.4132,0.2071,0.3776,-1.2664,0.5123,
11.252436,0.5518,1.3934,0.0948,3.3231,-0.5394,-1.6709,
11.352778,0.0539,1.0626,-0.1756,1.1901,-1.0783,-1.9665,
11.453376,0.0319,0.1813,0.0730,1.6030,3.1794,-1.5158,
11.553802,-0.0815,0.4941,-0.1285,-0.7011,1.8429,0.3706,
11.654490,-0.5394,1.2698,-0.8672,0.6379,0.9107,-0.2549,
11.754977,0.7031,2.5465,0.8357,-0.1391,-2.1632,0.7689,
11.855555,-0.1360,1.1258,0.3324,-2.5814,-3.0647,1.5287,
11.963995,0.0825,0.6924,-0.0104,-1.6114,0.8436,0.7334,
12.056683,0.0260,0.7823,0.1665,-1.3596,-0.6029,0.6222,
12.156755,-0.2318,0.9986,0.1067,-1.1190,-0.1387,1.3344,
12.257363,0.1392,1.1764,0.1824,-0.6913,-1.3947,0.1262,
12.357656,0.3078,1.1649,0.2164,2.9530,-0.1363,-1.7051,
12.458094,0.2631,1.3282,-0.5362,0.8834,-2.2034,-1.7759,
12.557782,-0.0813,0.5979,0.1343,1.4564,2.4183,-1.7307,
12.659112,0.1018,0.3953,-0.0633,-0.1062,2.7067,0.0114,
12.759942,-0.5226,1.3736,-1.0566,0.1284,0.1141,0.0395,
12.860545,-0.2182,1.9069,-0.4018,-0.1502,-1.0000,-0.2171,
12.960690,-0.0801,1.0948,0.5311,-2.0498,-3.1320,1.0132,
13.061293,-0.0420,0.8109,0.0682,-2.0805,-0.1033,0.9948,
13.162048,0.0559,0.7315,-0.0363,-1.5161,-0.1435,0.9265,
13.262466,0.0248,1.0318,-0.2033,-1.9363,0.2339,0.9215,
13.363000,-0.0210,1.3040,0.0354,-0.5985,-0.3880,0.6332,
13.463485,0.0752,1.1063,0.2226,2.1699,-0.0202,-1.5806,
13.564121,0.3532,1.6660,0.0549,1.8120,-2.4820,-1.7711,
13.664454,-0.2514,0.7613,-0.0386,1.7080,1.3127,-1.7149,
13.764903,0.0309,0.3082,-0.1290,0.5596,2.9046,-0.6630,
13.865532,-0.1873,1.2020,-0.4057,-0.7721,0.7263,0.5416,
13.965881,-0.4820,0.6236,-0.7945,0.4375,1.5313,-0.6765,
14.066499,0.1397,0.4785,-0.0579,-0.1074,-0.8986,0.9423,
14.166993,-0.2231,1.1237,-0.1258,-1.9277,-0.8009,1.2599,
14.267646,-0.0214,0.7435,0.0605,-1.7847,0.2937,0.9570,
14.368228,0.0784,1.0303,-0.1886,-1.9143,-0.1082,0.7102,
14.468420,0.0414,1.3098,0.0791,-0.8074,-0.5077,0.3840,
14.568980,-0.1060,1.3523,0.5506,1.5639,0.2608,-0.9929,
14.669334,0.4665,1.6042,0.2795,2.4618,-0.9951,-1.8419,
14.770017,-0.2467,0.9197,-0.1327,1.3709,0.5785,-2.0778,
14.870448,-0.0232,0.1762,-0.1302,0.8334,3.1477,-1.0344,
14.970955,-0.0142,1.0240,-0.4302,-0.4287,0.9742,0.6687,
15.071666,-0.3669,0.9015,-0.7260,0.2970,1.5631,-0.4382,
15.172121,0.1607,0.2121,-0.0894,0.0404,0.0996,1.0095,
15.272578,-0.0344,1.1652,-0.0882,-2.4714,-1.5693,1.2514,
15.372844,0.0111,0.6837,0.1380,-1.7958,-0.1107,0.9203,
15.473522,-0.0574,0.9187,-0.0828,-1.8862,-0.7887,0.7639,
15.574754,0.0610,1.2495,0.1087,-1.2583,0.0140,0.5563,
15.674482,0.0078,1.5635,0.3158,1.0765,0.0384,-0.1694,
15.774963,0.3701,1.5871,0.3530,3.1680,0.3231,-1.6319,
15.875650,-0.2783,0.9294,-0.1275,1.9231,0.3915,-2.3050,
15.975793,-0.0386,0.1513,-0.0810,1.4173,2.8105,-1.1895,
16.076410,-0.0484,0.5248,-0.2618,-1.0505,1.3762,0.5599,
16.176846,-0.3442,1.0846,-0.6261,0.5523,1.2613,-0.2196,
16.277409,0.4776,0.7745,-0.6166,0.9872,-0.5614,-0.5725,
16.377671,-0.2448,1.4009,-0.0962,-2.0853,-2.2707,1.4750,
16.478037,0.0754,0.6844,-0.0693,-1.7652,0.5735,0.7261,
16.578916,-0.0510,0.8740,0.1581,-1.5381,-0.8535,0.5587,
16.679349,0.0102,0.9851,0.0230,-1.1202,-0.2010,1.0010,
16.779798,-0.2565,1.6084,0.0931,0.0344,-0.9463,0.2618,
16.880106,0.4465,1.2355,0.2736,3.5443,-0.0630,-1.5903,
16.980634,-0.0726,0.9883,-0.1421,1.1888,-0.7997,-2.3050,
17.081377,0.0642,0.2573,0.1018,1.5114,3.4323,-1.6978,
17.181736,-0.0078,0.4550,-0.1414,-0.6755,1.7219,0.4280,
17.282154,-0.5074,1.2234,-0.9762,0.4608,0.8546,-0.1474,
17.382919,1.3595,2.7904,0.9836,0.2127,-1.5828,0.3438,
17.483179,-0.0784,1.5796,0.1683,-2.3138,-2.4758,1.7205,
17.583996,0.1651,0.7326,-0.0967,-1.7420,0.4562,0.7249,
17.684224,-0.0530,0.8368,0.0102,-1.5514,-0.9500,0.3303,
17.784805,-0.0408,0.8661,0.1893,-1.2350,-0.0227,0.8482,
17.885230,0.1436,1.2429,0.1480,-0.3994,-1.3959,0.3645,
17.985619,0.2592,1.1178,0.1192,2.8687,-0.1730,-1.4766,
18.086607,0.2027,1.2451,-0.2775,1.1351,-2.5051,-1.5366,
18.186785,0.0053,0.5353,0.1485,1.5162,2.2448,-1.4413,
18.287060,0.1157,0.3770,-0.0375,-0.2076,2.4855,-0.0864,
18.387737,-0.5140,1.6308,-1.0644,0.2799,0.3219,-0.2306,
18.488038,-0.2934,1.9064,-0.5565,-0.2222,-0.6849,0.0139,
18.589000,-0.0452,0.9248,0.4549,-1.9277,-2.5528,1.4762,
18.689499,0.0989,0.8076,0.0207,-2.0230,0.0996,0.8250,
18.789656,0.0568,0.6954,-0.0092,-1.6224,-0.0727,0.8422,
18.890418,-0.0582,1.1368,-0.0053,-1.6932,0.0030,0.9093,
18.990601,0.0954,1.2278,0.1297,-0.3860,-0.3501,0.3400,
19.091828,0.1541,1.1610,0.1020,2.1051,-0.0397,-1.5390,
19.191694,0.2741,1.5661,-0.1709,1.5737,-3.4959,-1.4986,
19.292404,-0.1715,0.6429,0.0207,1.3329,1.3615,-1.6684,
19.392851,0.0041,0.3364,-0.1145,0.2273,2.4427,-0.2256,
19.493296,-0.4256,1.4461,-0.7856,0.0257,0.4404,-0.0546,
19.594047,-0.3464,0.5407,-0.7893,0.3007,1.1844,-0.1841,
19.694355,0.0561,0.5263,0.2399,-0.7488,-1.5718,1.2941,
19.794654,0.0204,0.8955,-0.0415,-2.1721,-0.2181,0.8972,
19.895031,-0.0105,0.7059,-0.0021,-1.4964,0.1973,1.1023,
19.995165,-0.0212,0.9189,-0.0923,-1.7909,-0.2340,0.7835,
20.096174,0.0761,1.1974,0.0877,-1.1153,-0.5884,0.1935,
20.196337,-0.1162,1.4799,0.6058,1.2964,0.2559,-0.8256,
20.295611,0.5235,1.7785,0.4400,2.4778,-1.0086,-1.8285,
20.397462,-0.4278,0.8910,-0.1178,1.7080,0.1972,-1.9935,
20.497987,-0.0300,0.1254,0.0085,1.1595,2.9546,-0.8158,
20.597965,-0.1013,0.7014,-0.4945,-1.0517,0.9706,0.4744,
20.699034,-0.2445,0.7159,-0.7123,0.7161,1.6756,-0.6227,
20.799498,0.3495,-0.0546,-0.8008,-0.2076,-0.2793,0.1335,
20.898769,-0.2421,1.1735,-0.1524,-1.9558,-1.1967,1.0865,
21.000086,0.0835,0.7398,-0.0822,-1.6944,0.7556,1.0218,
21.100852,-0.0053,0.9311,0.1290,-1.5796,-0.7655,0.5379,
21.200424,0.0048,1.1407,0.0786,-1.1165,-0.1253,0.6479,
21.301557,-0.0980,1.5576,0.1387,0.6414,0.1361,0.0395,
21.402159,0.4688,1.4449,0.2743,3.4026,0.1264,-1.6416,
21.501222,-0.1319,1.0140,-0.1839,1.3966,-0.4356,-2.2952,
21.602775,-0.0887,0.0997,0.1258,1.4295,3.3419,-1.2970,
21.703532,0.0051,0.5204,-0.1532,-1.0005,1.3493,0.5587,
21.803700,-0.4430,1.0562,-0.7952,0.4570,0.9731,-0.2599,
21.904600,0.5487,0.4466,-0.4456,0.6146,-1.0685,-0.9769,
22.004835,-0.2360,1.3562,0.0002,-1.9827,-1.7746,1.3650,
22.104951,0.1118,0.7577,-0.0938,-1.7812,0.6115,0.8262,
22.205254,0.0454,0.8862,0.0845,-1.6419,-0.6641,0.6516,
22.305557,-0.1160,0.9923,-0.0324,-1.1544,0.1801,0.9277,
22.406041,-0.2812,1.3543,0.3014,-0.2822,-1.4532,0.3327,
22.506754,0.3398,1.2609,0.1756,3.3598,-0.4601,-1.5206,
22.606807,0.0837,1.0750,-0.2380,1.0875,-1.4619,-1.6954,
22.707739,0.1050,0.4371,0.0999,1.5077,2.1226,-1.5683,
22.807827,0.0326,0.4589,-0.0859,-0.2797,2.0213,0.1837,
22.908569,-0.4488,1.3157,-0.9860,0.4791,0.9694,-0.2794,
23.008850,1.0378,2.1980,0.5306,1.5529,-1.5852,-0.2379,
23.109440,-0.0718,1.5441,-0.1324,-1.7885,-2.1985,1.9233,
23.210054,0.1206,0.7885,-0.1064,-2.1366,0.5210,0.6894,
23.310540,0.0842,0.8160,0.1283,-1.5539,-0.6751,0.3620,
23.410857,-0.1793,0.8822,0.0428,-1.2827,-0.3550,1.2856,
23.511606,-0.0987,1.2514,0.2860,-0.4775,-1.2639,0.3315,
23.611689,0.4390,1.1613,0.1739,3.3061,-0.2731,-1.5610,
23.712428,0.1629,1.1867,-0.3843,0.7649,-1.9737,-1.8164,
23.812594,-0.0982,0.5263,0.1761,1.4955,2.7360,-1.8029,
23.913138,0.1287,0.4692,-0.0564,-0.3200,2.6565,-0.0693,
24.013567,-0.3767,1.5509,-0.9277,-0.0341,0.2241,0.1385,
24.113659,-0.5211,2.1801,-0.6591,-0.5545,-0.3158,-0.0705,
24.213863,0.0500,0.9274,0.6281,-2.0133,-3.0110,1.7938,
24.315110,0.1725,0.7664,-0.0544,-1.7201,0.1851,0.7249,
24.414498,0.0530,0.7403,0.0097,-1.4758,-0.4221,0.8605,
24.515589,-0.0081,1.0580,-0.0889,-1.9913,0.2791,0.9643,
24.616071,0.1348,1.2583,0.1006,-0.2382,-0.6677,0.2472,
24.716695,0.2718,1.1332,0.1283,2.3422,-0.1510,-1.6892,
24.817020,0.1690,1.3235,-0.3517,1.4087,-2.6982,-1.3117,
24.918886,0.0390,0.5619,0.0920,1.6177,1.5253,-1.3460,
25.019149,0.0559,0.3562,-0.1455,-0.1794,2.3792,-0.1156,
25.119018,-0.4011,1.8167,-1.0852,0.2127,0.4122,-0.1658,
25.220432,0.0265,2.2875,-0.1553,-0.1599,-0.8705,0.3778,
25.320648,-0.0735,1.3774,0.2445,-2.1464,-2.4771,2.0675,
25.421684,0.1297,0.7474,-0.1113,-2.0340,0.1386,0.6552,
25.522213,0.0561,0.7296,-0.0249,-1.6871,-0.3171,0.6259,
25.622460,-0.1018,0.9011,0.2126,-1.5111,-0.0227,0.9790,
25.723050,-0.0041,1.1899,0.2301,-0.3970,-0.7484,0.2960,
25.823134,0.3696,1.1202,0.1304,2.6928,-0.2170,-1.4926,
25.923343,0.2978,1.2441,-0.4334,1.1058,-2.4710,-1.3545,
26.024246,-0.0457,0.5458,0.1465,1.5712,2.0347,-1.4828,
26.130098,0.0737,0.4191,-0.1336,-0.4117,2.1666,-0.1389,
26.225473,-0.4742,1.8351,-1.2154,0.2030,0.5088,-0.1291,
26.325964,-0.0745,2.5815,0.1111,-0.4104,-1.1601,0.1092,
26.426724,0.0058,1.2588,0.2445,-2.2539,-2.2377,1.7621,
26.527018,0.1355,0.7664,-0.0251,-1.9425,0.7519,0.5624,
26.627473,0.0346,0.8239,0.1143,-1.4476,-0.3794,0.8104,
26.727988,-0.2770,0.9926,0.0596,-1.2643,-0.4576,0.8995,
26.828251,0.1087,1.1503,0.1262,-0.5215,-1.1368,0.1055,
26.928988,0.1443,1.1268,-0.0139,2.6841,0.0788,-1.3178,
27.029550,0.2511,1.3946,-0.1421,0.7954,-2.5088,-1.6941,
27.144130,-0.0039,0.5586,0.1172,1.3391,2.7860,-1.6501,
27.230551,0.0612,0.4559,-0.0608,-0.1794,2.7543,-0.2281,
27.330748,-0.3643,1.5195,-1.1436,0.0979,0.5002,-0.1364,
27.431548,-0.3820,1.9785,-0.5079,-1.2973,-0.3244,0.0016,
27.531936,0.0642,0.7047,0.4453,-2.2466,-2.4685,1.6375,
27.632469,0.0481,0.6888,-0.0789,-1.8239,1.1575,0.5086,
27.732645,0.0085,0.8596,0.0999,-1.3683,-0.0910,0.9350,
27.833070,-0.2189,1.0731,0.0254,-1.1239,-0.0520,0.7822,
27.933779,0.2531,1.1818,0.1467,-0.6461,-1.0783,-0.0131,
28.034095,-0.0293,1.0951,0.0476,2.3079,-0.4429,-1.3887,
28.134323,0.4854,1.5219,-0.3163,0.7172,-3.5619,-1.6551,
28.234776,-0.1478,0.5871,0.0705,1.5285,2.2070,-1.6013,
28.334917,0.1010,0.4425,-0.1339,0.0807,2.5905,-0.2232,
28.436191,-0.5087,1.3005,-0.6926,-0.2162,0.0005,0.0602,
28.536554,-0.3366,1.0343,-0.5264,-0.0866,0.2009,-0.5200,
28.636862,0.0822,0.6252,0.3867,-1.2167,-2.1472,1.7181,
28.737444,0.0476,0.7943,-0.0088,-1.5588,0.5075,1.0290,
28.837679,0.0378,0.7941,0.0239,-1.5624,-0.2608,0.6479,
28.939294,-0.0476,1.0462,-0.1028,-1.8692,0.1044,1.0376,
29.039872,0.0720,1.2835,0.0654,-0.4960,-0.5284,0.3828,
29.140290,0.0256,1.0577,0.0903,1.9181,-0.0067,-1.5939,
29.240707,0.3554,1.6629,-0.0461,1.6152,-2.9169,-1.6379,
29.341157,-0.2580,0.8185,-0.0403,1.5077,1.2418,-1.6184,
29.441462,0.0882,0.3411,-0.1788,0.4081,2.8948,-0.5677,
29.542142,-0.1966,1.1735,-0.5582,-0.8564,0.9829,0.4939,
29.642632,-0.3764,0.4112,-0.6889,0.5351,1.1367,-0.6996,
29.743975,0.0332,0.6369,0.2660,-0.7061,-2.0092,1.4872,
29.844047,-0.0874,0.9267,0.0379,-2.0511,0.1093,0.9888,
29.944749,0.0940,0.7188,-0.0092,-1.3853,-0.1950,1.0046,
30.045618,0.0349,1.0303,0.0009,-1.9900,-0.3818,0.8422,
30.146215,0.0014,1.2578,0.0628,-0.5191,-0.2768,0.5001,
30.246434,0.0124,1.0035,0.2404,2.0111,-0.1510,-1.4571,
30.347087,0.4370,1.7711,0.0808,1.6470,-2.7446,-1.8908,
30.447646,-0.3638,0.8319,-0.0950,1.4772,0.8313,-1.9177,
30.548118,0.0432,0.2568,-0.1223,0.4949,3.1439,-0.6875,
30.648702,-0.2196,1.2866,-0.4363,-0.5155,1.1819,0.4353,
30.748833,-0.5206,0.4934,-0.7123,0.3031,1.4605,-0.4932,
30.849490,0.1013,0.1559,-0.1532,0.1822,-0.0092,0.9826,
30.949771,-0.1732,1.1530,-0.1512,-2.1146,-1.0050,1.1879,
31.050293,0.0461,0.7384,0.0295,-1.7152,0.2388,0.7762,
31.151030,-0.0166,0.8576,-0.0486,-1.6724,-0.4148,0.7065,
31.251642,0.1294,1.2307,0.1779,-1.2350,-0.4954,0.2960,
31.351662,-0.0026,1.5434,0.1609,0.8260,-0.3868,-0.1609,
31.451944,0.4108,1.7430,0.1253,3.1778,-0.4185,-1.9654,
31.552440,-0.2655,1.0242,-0.2061,1.8436,0.4000,-2.3501,
31.653247,-0.0517,0.1884,-0.0274,1.7545,3.1794,-1.3618,
31.753813,0.0370,0.4740,-0.2426,-1.0005,1.1782,0.5453,
31.853989,-0.2804,1.8223,-1.1204,-0.1551,0.3817,0.7261,
31.954611,0.7521,1.4449,0.3831,0.6696,-1.1136,-0.7925,
32.055007,-0.0828,1.3516,0.0586,-2.2381,-2.0679,1.7718,
32.155784,0.1914,0.6830,-0.0197,-1.4989,0.6395,0.8348,
32.256209,-0.0086,0.8674,-0.0217,-1.4268,-0.5064,0.4561,
32.356432,-0.0535,0.8615,-0.0263,-1.5967,0.0958,0.8715,
32.456700,-0.1353,1.2481,0.1886,-0.5497,-1.0391,0.2606,
32.557054,0.5758,1.1442,0.2411,2.7441,-0.4148,-1.4986,
32.657955,0.1611,1.2507,-0.3774,1.5357,-2.3647,-1.4205,
32.758335,-0.0151,0.5663,0.0628,1.7252,1.8147,-1.4840,
32.858681,0.0710,0.3790,-0.1548,-0.2442,2.0360,0.0126,
32.958977,-0.1639,1.9991,-1.0361,0.2908,0.5857,0.0982,
33.059488,0.1837,2.1752,0.1683,-0.0146,-0.8730,0.2263,
33.160119,-0.2325,1.3284,0.3449,-2.1488,-1.9309,1.7120,
33.260286,0.2030,0.8202,0.0227,-2.1245,0.2461,0.7822,
33.360730,0.0874,0.7354,0.0134,-1.8032,-0.3146,0.6577,
33.461414,-0.1178,1.0523,0.2611,-1.6871,-0.6445,0.5989,
33.561830,0.0730,1.2416,0.1178,-0.2515,-0.7837,0.3938,
33.662316,0.0830,1.1178,0.0989,2.5022,0.3916,-1.4230,
33.762760,0.3654,1.4777,-0.2829,1.0044,-3.3103,-1.6026,
33.863137,-0.1877,0.7066,-0.0121,1.4296,1.7586,-1.5720,
33.963916,0.1079,0.4076,-0.1260,0.0429,2.6492,-0.1316,
34.064337,-0.4563,1.5314,-0.9426,0.0722,0.6005,-0.1096,
34.164747,-0.3682,2.0025,-0.5348,-0.0879,0.1423,-0.1046,
34.264949,-0.0948,1.1745,0.5623,-1.8972,-2.5895,1.3577,
34.365411,0.0840,0.8307,-0.0048,-2.0608,-0.0690,0.9252,
34.466181,0.1585,0.7088,-0.0046,-1.4061,-0.0007,0.7787,
34.566717,0.0190,1.0955,-0.0466,-1.7677,-0.0642,0.8458,
34.667308,0.0092,1.2419,0.0666,-0.4348,-0.8448,0.6174,
34.767788,-0.0061,1.2460,0.4290,1.3978,0.1570,-1.2495,
34.867967,0.4421,1.6963,0.4575,1.9426,-1.9394,-1.9557,
34.968743,-0.4107,0.8906,-0.1883,1.3966,0.7508,-1.9874,
35.069143,0.0624,0.3115,-0.1949,0.4522,2.8667,-1.1127,
35.169836,-0.0811,0.9851,-0.2718,-0.4263,1.4948,0.5209,
35.270384,-0.3284,1.0633,-0.5431,0.3655,1.2749,-0.3564,
35.370725,1.5179,2.5216,0.6340,1.5236,-0.7080,-0.6753,
35.471491,-0.0931,1.7119,0.0361,-2.0621,-3.0585,1.7156,
35.571842,0.1851,0.7394,-0.0980,-1.8935,0.1924,0.4499,
35.672215,-0.0491,0.8791,0.0769,-1.5466,-0.5199,0.4719,
35.772639,-0.1048,0.9478,0.1873,-1.1678,-0.0960,0.9936,
35.873489,0.0901,1.1498,0.1465,-0.5483,-0.6127,0.4451,
35.974029,-0.0237,1.1405,0.4346,1.4711,-0.3293,-1.1542,
36.074283,0.3227,1.6159,0.2480,1.8535,-1.5180,-1.9800,
36.174815,-0.2934,0.8600,-0.0468,1.8730,0.4759,-1.6171,
36.274988,0.0409,0.3516,0.0488,0.8785,3.2406,-1.4046,
