
time,gFx,gFy,gFz,wx,wy,wz,
0.097039,0.0705,0.3604,0.8827,0.5669,0.5295,-0.6815,
0.199060,0.2305,0.1019,0.7617,1.5810,0.8581,-3.0295,
0.299162,-0.4293,-0.0404,0.7575,3.2315,1.4959,-5.0002,
0.400270,-1.5215,0.7674,0.4397,0.7307,-2.0019,-2.5812,
0.500006,-1.0831,0.4076,0.6550,0.4276,-3.0378,-0.9819,
0.600654,-0.4810,0.0473,1.0041,0.8382,-0.2890,-1.4645,
0.701523,-0.4722,0.4389,0.4549,0.6377,2.2521,-1.3619,
0.801715,-0.4859,0.5244,0.5548,3.3806,-0.0800,-1.4780,
0.902542,-0.5536,0.4405,0.4937,1.9902,0.6700,-1.3485,
1.003231,-0.8001,0.3201,0.5250,2.6536,0.4417,-0.1023,
1.103870,-0.9750,0.4396,0.4131,0.8748,0.3157,0.6882,
1.204987,-0.9257,0.3648,0.3049,-1.4856,0.2559,0.6270,
1.305051,-0.9459,0.4799,0.2621,-1.8985,0.5808,-0.5580,
1.405195,-0.8104,0.5288,0.3303,-1.4794,0.6102,-0.3784,
1.505176,-0.5988,0.5654,0.5453,-1.5026,-1.1393,1.9514,
1.605786,-0.5639,0.3145,0.5096,-0.1686,0.2816,0.7688,
1.707487,-0.6704,0.2481,0.6014,-0.1013,1.2858,0.4462,
1.807893,-0.9230,0.4352,0.4187,-0.4287,2.5344,0.2043,
1.908822,-0.8570,0.5283,0.4172,0.5327,1.1734,0.8640,
2.008991,-1.0242,0.7135,0.4463,0.0635,1.4543,1.3137,
2.109299,-0.3620,0.7328,0.2680,0.5071,0.2144,1.5165,
2.209562,-1.0479,0.4054,0.3109,1.2096,0.8594,1.9429,
2.309730,-0.1216,1.8421,-0.0874,0.5327,0.5307,1.3382,
2.410826,-0.4180,0.7934,-0.4686,0.5901,0.2376,-0.0437,
2.510939,-0.2841,0.5265,0.3354,1.3219,-0.4869,-0.2782,
2.613063,-0.6813,1.7205,0.2105,0.0122,0.9401,1.3075,
