
time,gFx,gFy,gFz,wx,wy,wz,
8.221019,0.5947,-0.9727,0.0430,0.4783,0.0017,0.3441,
8.321407,0.4111,-1.1211,0.0840,1.4094,0.0003,0.0355,
8.422048,0.7197,-1.2637,0.1680,1.9122,-0.0003,-0.0607,
8.522615,0.6533,-1.4532,-0.3633,1.4220,-0.3047,-0.0273,
8.622919,0.4346,-1.5039,0.1016,0.0640,0.1365,0.0690,
8.722870,0.3232,-1.0860,0.1133,-1.6189,0.5032,0.0489,
8.823985,0.1045,-0.7735,0.3242,-2.6204,0.4376,-0.0767,
8.924068,0.4385,-0.8008,-0.6817,-2.5922,0.1295,0.0632,
9.023845,0.8975,-1.2715,-0.6660,-1.2369,-0.2524,-0.2319,
9.125045,0.0557,-1.2461,0.1953,-0.0708,-0.3427,-0.3262,
9.224849,0.5518,-1.1192,0.1270,-0.2636,-0.1298,-0.0594,
9.324491,0.5205,-0.9649,-0.0117,0.3661,0.0362,-0.1732,
9.425373,0.5596,-1.0586,0.1016,1.0389,0.0560,0.2623,
9.526472,0.4756,-1.1699,-0.0449,2.4193,0.0029,0.0382,
9.626172,0.5752,-1.2344,-0.0918,2.9768,-0.0152,0.0505,
9.727745,0.7901,-1.4766,0.2051,2.0833,-0.0217,0.0662,
9.827921,0.4854,-1.4785,0.0176,0.2354,0.0091,0.1136,
9.927487,0.2373,-0.8965,0.0879,-1.6141,0.0481,0.1211,
10.028472,-0.0029,-0.7246,0.1348,-2.0065,-0.0784,0.1713,
10.128958,0.8252,-0.9863,-0.9707,-1.6129,-0.2315,0.2798,
10.229533,0.8350,-1.0801,-0.5215,-0.7029,-0.3011,-0.4697,
10.329670,0.0088,-1.2617,0.3887,-0.2718,-0.2334,-0.2319,
10.429690,0.2666,-1.1758,0.0547,-0.2163,-0.0904,-0.2139,
10.530582,0.4580,-0.9297,-0.0625,0.3727,-0.0000,0.0153,
10.631016,0.5283,-1.0528,0.1582,1.4330,0.0000,0.3415,
10.730759,0.5225,-1.2168,-0.0586,2.2213,0.0000,-0.1235,
10.831373,0.5674,-1.2871,-0.3652,2.1171,-0.1383,-0.1233,
10.931526,0.7041,-1.4785,0.5293,1.3217,-0.3087,-0.0616,
